tic,predicted_return,trade_date
RAL.,0.022814645,19950601
UST.1,0.045196669,19950601
WWY,0.02992581,19950601
BEV,0.064850399,19950601
BGEN,0.057775628,19950601
BIIB,0.081258159,19950601
CHIR,0.126304497,19950601
CMX.1,0.061524376,19950601
HCR,0.059184273,19950601
HOLX,0.067657619,19950601
HUM,0.060821169,19950601
MCK,0.060886399,19950601
THC,0.0607535,19950601
THY,0.062724313,19950601
UNH,0.0587916,19950601
WLP.1,0.062161584,19950601
AHM.1,0.044516152,19950601
AVATQ,0.051080411,19950601
BNL.1,0.042170327,19950601
BSC.1,0.056450145,19950601
BT.2,0.063444065,19950601
C2,0.06167133,19950601
CB,0.064298176,19950601
CFC.3,0.04304764,19950601
CINF,0.043379495,19950601
FBF,0.042915884,19950601
GWF.,0.040960232,19950601
LEHMQ,0.075049915,19950601
MS,0.059343444,19950601
MTG,0.047861355,19950601
NAVI,0.042980874,19950601
NFB,0.045649111,19950601
PWJ.,0.054242666,19950601
UPC.,0.040489433,19950601
WAMUQ,0.045111112,19950601
AMH.1,0.105035828,19950601
AMT.1,0.085373463,19950601
APH,0.080985318,19950601
BAY.3,0.088881774,19950601
CPQ.2,0.088946462,19950601
CPWR.1,0.085311891,19950601
CYR.1,0.099887937,19950601
IAC,0.200248871,19950601
INTU,0.096472347,19950601
MU,0.097204102,19950601
NSM.2,0.129414214,19950601
NVLS.1,0.080502779,19950601
SBL.2,0.093990407,19950601
SYMC,0.084169302,19950601
VIAV,0.092686986,19950601
VRTS.1,0.133075779,19950601
WANG,0.149487706,19950601
XLNX,0.084561319,19950601
ATI.1,0.170434798,19950601
FRO.1,0.140430369,19950601
NXTL,0.127946234,19950601
AES,0.096917479,19950601
ED,0.023041153,19950601
EFU.1,0.046287227,19950601
NI2,0.06417318,19950601
NMK,0.030647165,19950601
PGL.1,0.062080815,19950601
PGN3,0.022933895,19950601
PPL,0.023221328,19950601
SCG,0.028406078,19950601
GGP,0.047581959,19950601
HCN,0.060457337,19950601
HST,0.077311137,19950601
MAC,0.04546042,19950601
PLD,0.055945531,19950601
BJS.1,0.04896574,19950901
CHK,0.130199923,19950901
CVX,0.024977477,19950901
MUR,0.026578233,19950901
NFX,0.03437314,19950901
RRC,0.048322835,19950901
SFS.1,0.074118723,19950901
